,Attribut1,Attribut2,Attribut3,Attribut4,Classe
0,-8.850074339199054,4.041708174816158,-4.545312668522309,-4.578589468723459,18.0
1,1.0094693179112697,-9.347073039698854,-6.515911701754618,9.66984224692,5.0
2,5.939860640950801,0.7184912728405428,-0.5649799745188979,3.312922837427273,8.0
3,5.629454193969271,1.3954945541952477,-0.42426073191478053,4.603658211947059,8.0
4,-6.22952031424266,3.4961132313720182,2.2028152974208677,10.431126115388032,10.0
5,7.181461350687097,0.3277561152671226,-3.4738718011382583,-0.24405692739782886,1.0
6,-5.235942959362314,-4.561169153608514,6.170433336023496,-6.8752159620545115,12.0
7,-7.930003853928335,3.1819160794762023,1.7489398812270154,7.798197250104479,10.0
8,-3.8457807905902452,-2.1013124582919094,5.577215200334396,8.314167026200904,2.0
9,3.0741585185743894,5.979682563446186,-3.6215205719641457,6.864586676631179,16.0
10,-4.923349079217227,-4.950849086900514,6.150958720185998,-8.14213876553573,12.0
11,10.056066995151115,-0.3498858382208869,-2.673890758804201,1.0630326599874413,1.0
12,-6.38950078742881,-6.0835104906011255,6.520593021482296,-7.217574969436269,12.0
13,8.194167957739129,-5.81641594701444,-5.127106506158233,5.73653921444733,4.0
14,10.058036664029043,-0.6764070698586184,4.016116635220579,-4.8838446017980415,17.0
15,8.158928609000554,0.16044676070722963,-3.340086209652569,-0.06559307515067056,1.0
16,-1.9239767194576662,7.16121321053074,7.452137710569492,-4.7935420551868635,6.0
17,7.0386534690536156,-0.11709821997966427,-3.803638170325072,-0.48902851138244086,1.0
18,3.8910685741363085,1.558500360700062,-1.4069114655969719,2.104518940121118,8.0
19,-5.548503126841033,2.7084287798944753,2.114172889304634,10.910209768686547,10.0
20,-6.125041150121398,-8.357351095331609,7.6485223377035565,-7.092869188957522,12.0
21,8.674344119304969,-8.7985626707792,-7.282897366141306,-2.736325406989107,13.0
22,-3.544978135600547,-10.529357279249075,-7.42714410344712,-1.3363471203647703,7.0
23,10.196228856771652,-2.5972752012077587,2.8414025716587306,10.676129864821057,15.0
24,5.534421474445502,9.004155229408727,-3.9355437783574962,5.647491192281451,16.0
25,8.594508528473197,1.1551698165294342,-2.8385439513669266,-0.5046107962357245,1.0
26,9.8774977959957,-1.8286750904814,-2.870810991743406,-0.5094148533915941,1.0
27,7.684070739577837,-10.300038864266153,-6.1515367579473725,-1.9131754909776002,13.0
28,7.820641889280349,-0.5665726238779808,-3.257656559238924,0.8486012078646059,1.0
29,-5.321464891116501,5.498296800714987,1.1002548130107495,-2.5613202925204885,14.0
30,8.631684378999262,-9.348045620997402,-7.296353557670575,-2.035495437469547,13.0
31,2.3057832092107504,0.7416413783087601,2.759470103223201,-2.349573828932588,19.0
32,-4.237498246733461,-3.014471549955287,4.99739033381061,6.988650780580413,2.0
33,9.214144237179884,-0.30892711655187044,2.7997186328932706,-5.33817601626868,17.0
34,3.2282266194475095,6.987539583177552,-3.9036906916511938,5.657417298429021,16.0
35,7.6317861988923505,-1.49035801455049,4.689400937265595,10.06434639617449,15.0
36,9.280082056568144,-1.8112443216320853,2.775468466580576,9.221417452285575,15.0
37,7.345486030316073,5.418665887052804,-3.2134869940689472,-4.027288061848476,3.0
38,-7.161245700151989,2.2647158614709824,2.5136581066399337,9.73913121504161,10.0
39,1.4491984963690372,-8.34950624211283,-6.0770037166311335,9.69383656936228,5.0
40,-6.579910765704319,3.3280479478960867,3.792017949246315,8.06045463419457,10.0
41,-6.278598372061049,2.940291660148125,3.1762196148507464,9.959406705268076,10.0
42,-6.305838394055345,-5.1547010637889805,6.433411635619098,-6.650971778986099,12.0
43,4.455490524918836,2.261752955017644,0.4007691006897579,2.990280852771497,8.0
44,7.112755507238393,5.310559283762922,-2.363760739675279,-1.8835700930572763,3.0
45,7.4357304953366725,-0.7804387542763233,-3.975337423078383,-0.46206809569887586,1.0
46,3.998705614792092,-5.367669256500531,2.8928261156554615,5.082593862126574,11.0
47,9.606346793570237,-8.500842149318116,-8.182478424747279,-0.2630716067752923,13.0
48,4.695844696023445,-5.020080150300597,1.9340224957884196,5.36213291993651,11.0
49,-6.777018982587074,-6.7669038764838945,8.389895333499297,-8.252041509411395,12.0
50,8.359135696002568,-9.193337060686666,-6.231960305117723,-0.09971379590011731,13.0
51,10.308468698186473,2.238100232057117,2.090193562034814,-7.3619324622144635,17.0
52,-7.999986878282309,6.32319146173146,-5.875978826597689,6.716048065138864,9.0
53,10.428860270244165,-1.3336940859378072,3.5511881689626423,-6.632471269247815,17.0
54,9.407808738999362,-8.60463996459879,-8.881866805704492,-2.945649690697892,13.0
55,-4.8551329752085,-5.598328997384762,8.626858461174473,-7.651380963999747,12.0
56,9.520954396684026,-5.316545269417971,-4.531059987582997,6.839731925817889,4.0
57,1.673938570889646,-0.284376802920676,3.018368638242459,-0.16655473624411493,19.0
58,4.120272704129993,7.692192131017417,-3.345897015357147,3.8307354239246236,16.0
59,-6.494271920645694,-5.722506777027815,7.139987455853319,-6.429307556408036,12.0
60,-5.235931575073522,-4.7635945556118635,7.3109688895983,6.248597938873453,2.0
61,9.269849422562373,1.3514201458917172,-4.040213860644603,-0.5351674903227182,1.0
62,6.130809364019608,1.9564323886762303,1.392867487153288,4.25346702825666,8.0
63,-5.8662781166692906,-7.13994880894621,6.434843793247192,-7.379426804808292,12.0
64,-3.9734883180120555,-9.572331837074257,-6.826173427123228,-0.7507700234158471,7.0
65,-8.823024721318209,7.82025244439557,-4.7563908196993046,9.191916721596467,9.0
66,7.981832518372009,-1.4228228021593596,4.301236114523823,9.045369374863979,15.0
